Geography,ACS2012,ACS2012moe,ACS2017,ACS2017moe
Bethel,18704,32,19526,44
Bridgeport,144446,48,147586,53
Brookfield,16487,29,17064,34
Danbury,81057,95,84573,38
Darien,20758,29,21742,38
Easton,7501,19,7607,24
Fairfield,59562,45,61611,41
Greenwich,61428,94,62782,59
Monroe,19529,26,19766,38
New Canaan,19794,23,20357,26
New Fairfield,13932,23,14091,25
Newtown,27543,30,28030,30
Norwalk,85853,64,88537,46
Redding,9148,29,9274,51
Ridgefield,24648,76,25206,54
Shelton,39641,45,41282,27
Sherman,3615,33,3654,29
Stamford,122878,44,128851,43
Stratford,51440,37,52529,39
Trumbull,36008,29,36455,40
Weston,10203,25,10369,33
Westport,26516,25,27777,39
Wilton,18201,25,18659,27
Avon,18049,26,18381,27
Berlin,19974,23,20584,23
Bloomfield,20470,51,20848,27
Bristol,60502,56,60498,55
Burlington,9293,19,9598,35
Canton,10243,19,10339,26
East Granby,5055,135,5220,141
East Hartford,51171,77,50812,37
East Windsor,11196,49,11409,32
Enfield,44699,46,44608,75
Farmington,25329,31,25596,32
Glastonbury,34401,38,34688,34
Granby,11243,26,11323,23
Hartford,124879,104,124390,85
Hartland,2198,132,2083,140
Manchester,58078,44,58172,45
Marlborough,6382,18,6420,18
New Britain,73122,37,73069,33
Newington,30520,38,30603,33
Plainville,17726,21,17805,37
Rocky Hill,19631,33,20015,28
Simsbury,23535,22,24307,34
Southington,43038,42,43817,27
South Windsor,25684,38,25802,32
Suffield,15692,23,15675,22
West Hartford,63157,37,63360,32
Wethersfield,26670,33,26395,29
Windsor,29067,45,29037,30
Windsor Locks,12500,24,12563,33
Barkhamsted,3791,41,3693,17
Bethlehem,3594,16,3490,25
Bridgewater,1704,112,1681,116
Canaan,1195,95,1128,133
Colebrook,1493,100,1471,150
Cornwall,1393,200,1364,151
Goshen,2957,23,2914,15
Harwinton,5620,29,5526,36
Kent,2971,14,2853,22
Litchfield,8454,29,8252,19
Morris,2469,195,2367,166
New Hartford,6924,18,6794,18
New Milford,28067,31,27380,27
Norfolk,1492,149,1442,154
North Canaan,3301,21,3331,17
Plymouth,12193,18,11888,36
Roxbury,2322,175,2231,194
Salisbury,3747,17,3658,20
Sharon,2789,15,2733,22
Thomaston,7865,32,7668,26
Torrington,36239,37,35078,27
Warren,1560,141,1467,108
Washington,3574,21,3489,19
Watertown,22449,22,21976,36
Winchester,11189,21,10894,19
Woodbury,9925,22,9686,28
Chester,4090,31,4286,21
Clinton,13259,33,13041,27
Cromwell,14059,40,14021,23
Deep River,4636,20,4547,47
Durham,7368,22,7292,20
East Haddam,9120,21,9072,32
East Hampton,12953,20,12890,33
Essex,6682,17,6588,20
Haddam,8308,35,8303,19
Killingworth,6512,18,6441,19
Middlefield,4426,19,4402,18
Middletown,47530,62,46747,35
Old Saybrook,10268,21,10162,18
Portland,9500,65,9391,44
Westbrook,6928,39,6927,15
Ansonia,19188,34,18953,27
Beacon Falls,6015,22,6108,18
Bethany,5524,42,5526,19
Branford,28062,34,28149,36
Cheshire,29253,26,29274,29
Derby,12858,23,12700,21
East Haven,29188,39,29006,29
Guilford,22353,39,22377,35
Hamden,60735,60,61493,49
Madison,18264,22,18247,20
Meriden,60674,38,60241,33
Middlebury,7522,20,7658,34
Milford,52826,30,53867,29
Naugatuck,31795,28,31649,41
New Haven,129898,57,130884,56
North Branford,14369,27,14275,33
North Haven,24037,42,23877,28
Orange,13919,27,13981,26
Oxford,12602,21,12972,22
Prospect,9450,22,9748,23
Seymour,16487,38,16579,26
Southbury,19841,34,19675,34
Wallingford,45047,37,44991,31
Waterbury,110074,59,109250,42
West Haven,55386,54,55044,35
Wolcott,16638,26,16696,31
Woodbridge,8990,25,8907,24
Bozrah,2605,45,2587,20
Colchester,16044,20,16015,21
East Lyme,19168,71,18883,64
Franklin,1984,122,1908,97
Griswold,11907,33,11791,20
Groton,40079,47,39492,37
Lebanon,7289,32,7242,17
Ledyard,15046,26,14926,22
Lisbon,4333,19,4300,16
Lyme,2359,114,2423,99
Montville,19587,34,19384,26
New London,27613,54,27147,91
